CustomerID,Gender,Age,Tenure,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,SatisfactionScore,TechSupport,StreamingServices,Complaints,Churn
CUST0001,1,1.4919671295892847,-0.8466416104207583,0,3,0.8602228586025538,1.3340788647277526,1.0,1,1,1,0
CUST0002,0,-0.7494062024503244,0.5441454292847995,0,3,0.2110426477324044,-1.1695686353629184,4.0,1,0,2,0
CUST0003,1,-1.2340274634318615,-0.49894485049436876,1,2,0.3036346096872738,-0.27575687625256934,5.0,0,0,0,0
CUST0004,1,0.21983631951274976,-1.5420351302735371,0,0,-1.254536093359227,-1.705851365794002,4.0,0,0,0,1
CUST0005,1,1.4313894719665925,-0.1512480905679794,2,2,-0.18281868297114587,-0.010201521622698367,1.0,0,0,2,0
CUST0006,0,-0.5676732295822481,1.2395389491375781,1,2,-0.15897970769172057,-1.68198077609519,5.0,0,1,1,0
CUST0007,1,-0.991716832941093,0.8918421892111889,1,1,1.595085183520493,-0.010201521622698367,4.0,0,0,0,0
CUST0008,1,-0.08305196860071092,1.2395389491375781,0,1,-0.22704170957645678,1.1862167263623937,4.0,0,1,1,0
CUST0009,1,1.1285011838531318,1.5872357090639675,0,1,0.18133030173196116,1.0537985675922956,5.0,1,0,0,1
CUST0010,0,-0.02247431097801877,1.2395389491375781,0,0,0.12605151847532226,-0.745902611217368,1.0,0,1,2,1
CUST0011,1,-0.991716832941093,0.5441454292847995,1,1,0.4836361476667035,1.2304041685649363,4.0,0,0,2,0
CUST0012,1,1.0073458686077477,-0.49894485049436876,0,1,0.8685146760910494,0.1805127043500935,3.0,1,0,1,0
CUST0013,1,0.3409916347581341,-0.1512480905679794,0,0,-0.9391015364010328,-0.4231829069094039,5.0,0,0,1,0
CUST0014,1,-1.4157604362999379,-1.5420351302735371,1,0,0.11015886828903887,0.4742871110782358,2.0,0,1,1,0
CUST0015,0,-0.6888285448276323,-1.5420351302735371,0,3,1.136962267281101,-1.7129516317922897,2.0,0,1,1,0
CUST0016,1,1.3102341567212084,-0.8466416104207583,1,1,-0.11648414306317949,-1.2468822424336146,1.0,0,0,1,1
CUST0017,0,-1.47633809392263,0.8918421892111889,0,1,-0.7542631048866474,0.891631375548153,3.0,0,0,0,0
CUST0018,0,1.0679235262304398,-1.1943383703471477,2,1,0.5454792864350677,-0.885781455579576,4.0,0,1,1,1
CUST0019,0,-0.2647849414687873,-0.49894485049436876,0,3,1.1297069269786668,0.37680081934133797,2.0,1,0,0,0
CUST0020,1,-1.6580710667907064,-1.1943383703471477,0,1,-1.4984537244791447,-0.3828807879282596,1.0,1,0,2,0
CUST0021,0,-1.1734498058091694,-0.1512480905679794,0,3,0.9673255011622913,1.2930919485183474,3.0,1,1,0,0
CUST0022,1,1.613122444834669,1.2395389491375781,0,2,1.1221060942808792,1.6413762146160857,3.0,1,0,1,0
CUST0023,0,0.038103346644673367,-1.5420351302735371,1,3,-0.12201202138884322,1.3957070110753282,1.0,0,1,0,0
CUST0024,0,1.2496564990985162,-0.1512480905679794,1,2,1.680767297568283,-0.7913731471739157,1.0,0,1,1,0
CUST0025,0,0.9467682109850554,1.2395389491375781,1,1,1.0015292483023364,-1.064185550325387,4.0,1,1,0,0
CUST0026,0,-1.47633809392263,-1.5420351302735371,0,2,0.9566152369063174,-0.06412930334827256,1.0,0,1,0,0
